Date,AAPL,BTC-USD,MSFT,NVDA,TSLA,SPY
2017-02-02,1.0,1.0,1.0,1.0,1.0,1.0
2017-02-03,1.0042790703531568,1.0178988402897908,1.0080733298644577,0.9912472634853613,0.9991253720580826,1.0068931562318333
2017-02-06,1.0136932050282563,1.0260427326932182,1.0074402232655606,1.0166395356972033,1.0247267214190583,1.0050930770943247
2017-02-07,1.0233407575588387,1.0489721174053894,1.0041158952297875,1.0324122113353487,1.023573782089121,1.0051371105665143
2017-02-08,1.0273088611020484,1.0506720291704377,1.0026910876584079,1.0279056127469197,1.041860443956139,1.0064537420703312
2017-02-09,1.034732165700078,0.9827861312535775,1.0140886786694046,1.0085798510316004,1.07016495096283,1.0124248036406323
2017-02-10,1.0323881569960915,0.9771437271777947,1.0131389853264419,0.9846610060441973,1.0702842597679108,1.0164201891782296
2017-02-13,1.0415301314631464,0.9790887930029267,1.0245367101159064,0.9392497524994576,1.1154839854372742,1.0219519133003947
2017-02-14,1.0550486425335006,0.9928345521966111,1.028359162276559,0.9427165216615192,1.1169946237109474,1.0260349055021742
2017-02-15,1.0588770037602568,0.9957303742080074,1.0277223098805632,0.9446230433784021,1.1121447037240497,1.0313912628692425
2017-02-16,1.0576272255811063,1.0154575546570193,1.0275627121684694,0.9294571865584514,1.069171127951585,1.0305133551066323
2017-02-17,1.0605183174228408,1.0340086712390553,1.0291557461631164,0.9292833783484294,1.0822102496386046,1.0321378373489456
2017-02-21,1.068175875117785,1.1022930048268929,1.027085123038398,0.962562114205751,1.102723061402521,1.0382842656743434
2017-02-22,1.071380118247057,1.1044079411818464,1.0250149012490828,0.9610870092958872,1.0872986734999108,1.0373622477261775
2017-02-23,1.066847519994716,1.1531132484475335,1.0291557461631164,0.8719721343161662,1.0176505377995089,1.038064788733691
2017-02-24,1.0678633663236565,1.1599921603785315,1.0291557461631164,0.8803890820930065,1.0216656373581003,1.039382033944437
2017-02-27,1.0699731861800696,1.1662087220192443,1.0229445456813,0.9059867030008592,0.9788510641685746,1.0410065161867503
2017-02-28,1.0704420778699442,1.1662087220192443,1.018962763365489,0.8805624708816724,0.9937984443223681,1.0381965822967951
2017-03-01,1.0923214199207139,1.2082427502955693,1.0342520368942285,0.8919296284782403,0.9939176393916958,1.0527286253931367
2017-03-02,1.085836091450456,1.2364202657231131,1.0194404862740283,0.8590431354732658,0.995746396567,1.0460993631409765
2017-03-03,1.0922431642234998,1.2601205827403699,1.023262938434681,0.8540970671877781,1.0000795012914694,1.0467577172495681
2017-03-06,1.088804796495995,1.2579857396827028,1.0235813980772956,0.8475026729723033,0.9986483643092657,1.043640623041412
2017-03-07,1.0902116000643007,1.2092706600356837,1.0256517536450787,0.8567868163452864,0.9882328989764919,1.0405232219797909
2017-03-08,1.0861480862498571,1.1365882722616807,1.0350483532238504,0.8552251428674966,0.9813953329671042,1.038591656132643
2017-03-09,1.0836478873981472,1.1746293779137305,1.0309073745313488,0.855051502426017,0.9735639439464714,1.039908901343389
2017-03-10,1.0872423810240344,1.1036963670448519,1.034092773628304,0.8600843070479732,0.9687537177374319,1.0435528629504973
2017-03-13,1.087711144215227,1.2175529341846405,1.030588981777968,0.8837731413636194,0.9786125602941661,1.0440796536360832
2017-03-14,1.086069959051325,1.2255386587865078,1.025811016911003,0.8831655675869834,1.0256410431388339,1.0400844215252183
2017-03-15,1.0975567132144575,1.2350365689145013,1.0312257672847298,0.889847453097368,1.0166170210104057,1.0490846637860287
2017-03-16,1.0993535102820147,1.1739573758887967,1.0294742058057313,0.900780509590237,1.0417411351510582,1.0470209975223117
2017-03-17,1.0938840923900381,1.087398689209982,1.0331371940327578,0.9203907228693521,1.0395546790320178,1.0451825617017112
2017-03-20,1.1053708465531706,1.0419351583195147,1.034092773628304,0.9497196839307767,1.04122431988863,1.0440359270173583
2017-03-21,1.0927119274146926,1.1074718843461593,1.0226258853709833,0.9190025220644993,0.9965414094816948,1.0306310334103588
2017-03-22,1.105057823764315,1.036904553573793,1.0356853393983139,0.9377454558632002,1.0137547470459982,1.0330565566223657
2017-03-23,1.1011514638377082,1.026477543339154,1.0331371940327578,0.9292416878656201,1.0128403115904694,1.0319540321235687
2017-03-24,1.0989635167827632,0.9265863123563136,1.0348888224009904,0.9325389269154931,1.0461538549027503,1.0312043891092182
2017-03-27,1.1008388265448978,1.0335738605931195,1.0368002491490185,0.9393072132252613,1.0742198580350328,1.0301460515093432
2017-03-28,1.1236558234767349,1.0349377713457009,1.0398263180908154,0.9344478812762421,1.1029616790126826,1.0376420980860168
2017-03-29,1.126156022328445,1.0278414540917353,1.0426929230989863,0.9314109351200459,1.102683367624663,1.0386123687415125
2017-03-30,1.1246713485589708,1.0144594446476336,1.0465151077027033,0.949286002248434,1.104830016230092,1.0419195586710728
2017-03-31,1.122561400203876,1.0592904249785444,1.0489042573592706,0.9452078006332592,1.1063406545037653,1.0394943423125305
2017-04-03,1.1228740374966864,1.1304705202544365,1.0439670292263812,0.9404352050207085,1.1867222607028187,1.0376865151250374
2017-04-04,1.1312351897238062,1.1200336169917824,1.046833701123786,0.8744883269164662,1.2073146874939578,1.0383477843415438
2017-04-05,1.1253750073404871,1.111662426237372,1.0441262256030717,0.8679807529217312,1.1727291235181654,1.035261298766495
2017-04-06,1.122561400203876,1.1688871990310141,1.046833701123786,0.8743148542435292,1.1874378860617971,1.0381711901725883
2017-04-07,1.1200609443548024,1.1631745785856602,1.0460373847941642,0.8705836818584997,1.2027031576457154,1.037113159426178
